Sub-category	Class	Mean LW	Entries	Contribution	Total Entries	Total Contribution	Frac.	Adj. Frac.	Category
Male	Toxic	0.266	4312	1146.992	7891	2660.909	54.6	43.1	Sex
Female	Non-Toxic	0.41	3317	1359.97	8201	2644.462	40.4	51.4	Sex
Male	Non-Toxic	0.423	3579	1513.917	7891	2660.909	45.4	56.9	Sex
Female	Toxic	0.263	4884	1284.492	8201	2644.462	59.6	48.6	Sex
Unknown	Non-Toxic	0.436	4196	1829.456	10181	3589.046	41.2	51.0	Sex
Unknown	Toxic	0.294	5985	1759.59	10181	3589.046	58.8	49.0	Sex
Unknown	Toxic	0.324	5171	1676.062	8895	3374.565436601639	58.134	49.667	Age
Elderly	Toxic	0.287	3324	954.098	6383	2256.3634582459927	52.076	42.285	Age
Adult	Non-Toxic	0.42	3110	1306.591	7183	2412.3888214230537	43.297	54.162	Age
Adolescent	Toxic	0.181	1316	237.955	1887	428.9506405889988	69.74	55.474	Age
Elderly	Non-Toxic	0.426	3059	1302.265	6383	2256.3634582459927	47.924	57.715	Age
Adult	Toxic	0.271	4073	1105.798	7183	2412.3888214230537	56.703	45.838	Age
Adolescent	Non-Toxic	0.334	571	190.995	1887	428.9506405889988	30.26	44.526	Age
Unknown	Non-Toxic	0.456	3724	1698.504	8895	3374.565436601639	41.866	50.333	Age
Children	Non-Toxic	0.325	628	203.861	1925	418.6040835082531	32.623	48.7	Age
Children	Toxic	0.166	1297	214.743	1925	418.6040835082531	67.377	51.3	Age
Unknown	Non-Toxic	0.473	4189	1981.912	10296	4209.207739830017	40.686	47.085	Weight
High	Toxic	0.215	2813	605.802	5073	1505.8958087712526	55.45	40.229	Weight
Average	Toxic	0.22	3188	701.965	5498	1619.3765372037888	57.985	43.348	Weight
Low	Toxic	0.213	3073	653.593	5406	1556.3924529105425	56.844	41.994	Weight
Average	Non-Toxic	0.397	2310	917.412	5498	1619.3765372037888	42.015	56.652	Weight
Low	Non-Toxic	0.387	2333	902.799	5406	1556.3924529105425	43.156	58.006	Weight
High	Non-Toxic	0.398	2260	900.094	5073	1505.8958087712526	44.55	59.771	Weight
Unknown	Toxic	0.365	6107	2227.296	10296	4209.207739830017	59.314	52.915	Weight
